inst	m	l	greedy	grasp	ag	hibrida
51	500	500	70074722	66115976	67520629	69318675
52	500	500	70012088	66052805	67189235	69424100
53	500	500	69745778	66149046	67393433	69477989
54	500	500	70000575	65960875	67276314	69108479
55	500	500	70046100	66149883	67407878	69356918
56	500	500	70120158	66118527	67325761	69284884
57	500	500	69867977	66126425	67466948	69325247
58	500	500	69905536	65971788	67295385	69440685
59	500	500	70032130	66164617	67464933	69210874
60	500	500	70054606	66182750	67393628	69253106
61	500	500	69648188	66209871	67459784	69658651
62	500	500	70004239	66201342	67523727	69361595
63	500	500	69749762	66007281	67264171	69731870
64	500	500	69940455	66124405	67413689	69459284
65	500	500	69876614	65967225	67399394	69428384
66	500	500	69823120	66102720	67390241	69327406
67	500	500	69993817	66222488	67470305	69488039
68	500	500	70084941	66114394	67442497	69382055
69	500	500	69672845	65999024	67279148	69160430
70	500	500	70119557	66034096	67432500	69301874
71	500	500	70069872	66139631	67390567	69753354
72	500	500	70267633	66141399	67438390	69377023
73	500	500	69689642	66165698	67441484	69671879
74	500	500	69942944	66177445	67585905	69356272
75	500	500	69783847	66092345	67451186	69825888
76	500	500	69932509	66093189	67540967	69271421
77	500	500	69944412	66014041	67403424	69437539
78	500	500	70102416	66122314	67375165	69485329
79	500	500	69785224	66038037	67379053	69300937
80	500	500	69922630	66010670	67334254	69274388
81	500	500	69792836	65934590	67331823	69211099
82	500	500	69940005	66089337	67414323	69341177
83	500	500	69865660	66063131	67330169	69372943
84	500	500	69778848	66149496	67464964	69404135
85	500	500	69900667	65989595	67332111	69410194
86	500	500	70097818	66099554	67390293	69467591
87	500	500	70065693	66284591	67548995	69584553
88	500	500	69979157	66105189	67322191	69364706
89	500	500	69747939	66020079	67433384	69295196
90	500	500	69819084	66078823	67362328	69288863
91	500	500	69961889	65913302	67270167	69348389
92	500	500	69918888	66091840	67395339	69505503
93	500	500	69950763	66037104	67496178	69224377
94	500	500	69800696	66037854	67507658	69310250
95	500	500	70196213	65972660	67309689	69299040
